LC,LC-title,Element_no,P[kN],Shear_key
0,4033,Shear keys - W - 2553/2554,10100001,0.1,Shear_key20
1,4033,Shear keys - W - 2553/2554,10100002,0.1,Shear_key20
2,4033,Shear keys - W - 2553/2554,10100003,0.0,Shear_key20
3,4033,Shear keys - W - 2553/2554,10100004,-0.1,Shear_key19
4,4033,Shear keys - W - 2553/2554,10100005,0.0,Shear_key19
5,4033,Shear keys - W - 2553/2554,10100006,0.0,Shear_key19
6,4033,Shear keys - W - 2553/2554,10100007,0.0,Not_a_shear_key
7,4033,Shear keys - W - 2553/2554,10100008,0.0,Not_a_shear_key
8,4033,Shear keys - W - 2553/2554,10100009,0.0,Not_a_shear_key
9,4033,Shear keys - W - 2553/2554,10100010,0.0,Shear_key9
10,4033,Shear keys - W - 2553/2554,10100011,0.0,Shear_key9
11,4033,Shear keys - W - 2553/2554,10100012,0.0,Shear_key9
12,4033,Shear keys - W - 2553/2554,10100013,0.0,Shear_key18
13,4033,Shear keys - W - 2553/2554,10100014,0.0,Shear_key18
14,4033,Shear keys - W - 2553/2554,10100015,0.0,Shear_key18
15,4033,Shear keys - W - 2553/2554,10100016,0.0,Shear_key17
16,4033,Shear keys - W - 2553/2554,10100017,-0.1,Shear_key17
17,4033,Shear keys - W - 2553/2554,10100018,0.0,Shear_key17
18,4033,Shear keys - W - 2553/2554,10100019,0.0,Shear_key16
19,4033,Shear keys - W - 2553/2554,10100020,0.0,Shear_key16
20,4033,Shear keys - W - 2553/2554,10100021,0.0,Shear_key16
21,4033,Shear keys - W - 2553/2554,10100022,0.0,Shear_key15
22,4033,Shear keys - W - 2553/2554,10100023,0.0,Shear_key15
23,4033,Shear keys - W - 2553/2554,10100024,0.0,Shear_key15
24,4033,Shear keys - W - 2553/2554,10100025,0.0,Shear_key12
25,4033,Shear keys - W - 2553/2554,10100026,0.0,Shear_key12
26,4033,Shear keys - W - 2553/2554,10100027,0.0,Shear_key12
27,4033,Shear keys - W - 2553/2554,10100028,0.0,Shear_key11
28,4033,Shear keys - W - 2553/2554,10100029,0.0,Shear_key11
29,4033,Shear keys - W - 2553/2554,10100030,0.0,Shear_key11
30,4033,Shear keys - W - 2553/2554,10100031,0.0,Shear_key14
31,4033,Shear keys - W - 2553/2554,10100032,0.0,Shear_key14
32,4033,Shear keys - W - 2553/2554,10100033,0.0,Shear_key14
33,4033,Shear keys - W - 2553/2554,10100034,0.0,Shear_key13
34,4033,Shear keys - W - 2553/2554,10100035,0.0,Shear_key13
35,4033,Shear keys - W - 2553/2554,10100036,0.0,Shear_key13
36,4034,Top slab- buildings activation,10100001,-19.2,Shear_key20
37,4034,Top slab- buildings activation,10100002,-26.3,Shear_key20
38,4034,Top slab- buildings activation,10100003,-13.5,Shear_key20
39,4034,Top slab- buildings activation,10100004,20.0,Shear_key19
40,4034,Top slab- buildings activation,10100005,29.0,Shear_key19
41,4034,Top slab- buildings activation,10100006,16.0,Shear_key19
42,4034,Top slab- buildings activation,10100007,-19.2,Not_a_shear_key
43,4034,Top slab- buildings activation,10100008,-22.2,Not_a_shear_key
44,4034,Top slab- buildings activation,10100009,-13.8,Not_a_shear_key
45,4034,Top slab- buildings activation,10100010,23.1,Shear_key9
46,4034,Top slab- buildings activation,10100011,33.4,Shear_key9
47,4034,Top slab- buildings activation,10100012,18.4,Shear_key9
48,4034,Top slab- buildings activation,10100013,-17.3,Shear_key18
49,4034,Top slab- buildings activation,10100014,-18.2,Shear_key18
50,4034,Top slab- buildings activation,10100015,-10.2,Shear_key18
51,4034,Top slab- buildings activation,10100016,24.1,Shear_key17
52,4034,Top slab- buildings activation,10100017,36.6,Shear_key17
53,4034,Top slab- buildings activation,10100018,21.7,Shear_key17
54,4034,Top slab- buildings activation,10100019,-38.2,Shear_key16
55,4034,Top slab- buildings activation,10100020,-43.8,Shear_key16
56,4034,Top slab- buildings activation,10100021,-27.0,Shear_key16
57,4034,Top slab- buildings activation,10100022,182.3,Shear_key15
58,4034,Top slab- buildings activation,10100023,228.2,Shear_key15
59,4034,Top slab- buildings activation,10100024,165.4,Shear_key15
60,4034,Top slab- buildings activation,10100025,-20.6,Shear_key12
61,4034,Top slab- buildings activation,10100026,-22.2,Shear_key12
62,4034,Top slab- buildings activation,10100027,-12.5,Shear_key12
63,4034,Top slab- buildings activation,10100028,29.6,Shear_key11
